hour,day_of_week,rain_mm,road_type_enc,accident_rate_norm,speed_limit,school_zone,hospital_zone,ped_density_enc,lane_count,has_signal,traffic_vol_norm,incident_weight,cops_deployed,risk_label
0.522,0.167,0.000,1.000,0.600,0.500,1.000,0.000,1.000,0.500,1.000,0.635,0.000,0.200,58
0.391,0.833,0.000,0.600,0.500,0.500,0.000,0.000,1.000,0.500,1.000,0.898,0.000,0.300,47
0.652,0.833,0.000,0.800,0.800,0.300,0.000,0.000,0.333,0.750,1.000,0.555,0.000,0.300,42
0.261,0.833,0.000,1.000,0.500,0.500,0.000,0.000,0.667,0.500,1.000,0.332,0.000,0.000,35
0.391,0.833,0.000,0.600,0.233,0.500,0.000,0.000,0.333,0.500,1.000,0.914,0.000,0.000,46
0.391,0.833,0.000,1.000,0.367,0.500,0.000,0.000,0.667,0.500,1.000,0.955,0.000,0.100,51
0.130,0.833,0.000,0.800,0.567,0.500,0.000,0.000,0.333,0.500,0.000,0.127,0.000,0.100,26
0.130,0.833,0.000,0.600,0.267,0.800,0.000,0.000,0.667,0.250,0.000,0.167,0.000,0.200,21
0.913,0.833,0.200,0.500,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.115,0.000,0.100,24
0.000,0.833,0.000,1.000,0.500,0.500,1.000,0.000,0.667,0.500,1.000,0.127,0.000,0.100,35
0.261,0.833,0.000,0.800,0.867,0.300,0.000,0.000,0.333,0.750,1.000,0.345,0.000,0.300,37
0.130,0.833,0.200,0.800,0.733,0.500,0.000,0.000,0.333,0.500,0.000,0.120,0.000,0.300,34
0.261,0.167,0.200,1.000,0.667,0.500,0.000,0.000,0.667,0.500,1.000,0.345,0.000,0.300,51
0.913,0.167,0.000,1.000,0.367,0.500,0.000,0.000,0.333,0.500,1.000,0.128,0.000,0.100,30
0.913,0.167,0.200,0.600,0.400,0.800,0.000,0.000,1.000,0.250,1.000,0.129,0.000,0.400,29
0.783,0.167,0.000,0.900,0.333,0.500,1.000,0.000,1.000,0.500,1.000,1.000,0.000,0.200,64
0.000,0.833,0.000,1.000,0.633,0.500,0.000,1.000,0.667,0.500,1.000,0.138,0.000,0.200,32
0.261,0.167,0.000,0.600,0.300,0.800,0.000,0.000,0.667,0.250,0.000,0.324,0.000,0.100,33
0.000,0.167,0.000,1.000,0.567,0.500,0.000,0.000,0.667,0.500,1.000,0.126,0.000,0.300,35
0.522,0.833,0.200,1.000,0.300,0.500,0.000,0.000,0.333,0.500,1.000,0.513,0.000,0.400,30
0.913,0.167,0.200,1.000,0.667,0.300,0.000,0.000,1.000,0.750,1.000,0.141,0.000,0.400,49
0.783,0.167,0.000,1.000,0.533,0.500,1.000,0.000,0.667,0.500,1.000,0.882,0.000,0.300,63
0.783,0.833,0.000,1.000,0.733,0.300,0.000,0.000,1.000,0.750,1.000,1.000,0.000,0.300,62
